 @# k   band (eV)
   0.150  -1.457  -1.395  -0.771  -0.771
   0.152  -1.437  -1.375  -0.760  -0.760
   0.154  -1.416  -1.354  -0.749  -0.749
   0.156  -1.393  -1.331  -0.736  -0.736
   0.157  -1.369  -1.307  -0.723  -0.723
   0.159  -1.344  -1.282  -0.710  -0.710
   0.161  -1.317  -1.255  -0.695  -0.695
   0.163  -1.289  -1.227  -0.680  -0.680
   0.165  -1.259  -1.197  -0.664  -0.664
   0.166  -1.229  -1.167  -0.648  -0.648
   0.168  -1.197  -1.135  -0.631  -0.631
   0.170  -1.164  -1.102  -0.613  -0.613
   0.172  -1.131  -1.069  -0.595  -0.595
   0.174  -1.096  -1.034  -0.576  -0.576
   0.175  -1.059  -0.997  -0.556  -0.556
   0.177  -1.022  -0.960  -0.536  -0.536
   0.179  -0.984  -0.922  -0.516  -0.516
   0.181  -0.945  -0.883  -0.495  -0.495
   0.183  -0.905  -0.843  -0.473  -0.473
   0.184  -0.865  -0.803  -0.451  -0.451
   0.186  -0.823  -0.761  -0.429  -0.429
   0.188  -0.781  -0.719  -0.406  -0.406
   0.190  -0.738  -0.676  -0.383  -0.383
   0.192  -0.694  -0.632  -0.359  -0.359
   0.193  -0.650  -0.588  -0.335  -0.335
   0.195  -0.604  -0.542  -0.311  -0.311
   0.197  -0.559  -0.497  -0.286  -0.286
   0.199  -0.513  -0.451  -0.261  -0.261
   0.200  -0.466  -0.404  -0.236  -0.236
   0.202  -0.419  -0.357  -0.211  -0.211
   0.204  -0.372  -0.310  -0.185  -0.185
   0.206  -0.324  -0.262  -0.159  -0.159
   0.208  -0.276  -0.214  -0.133  -0.133
   0.209  -0.228  -0.166  -0.107  -0.107
   0.211  -0.179  -0.117  -0.081  -0.081
   0.213  -0.131  -0.069  -0.055  -0.055
   0.215  -0.082  -0.028  -0.028  -0.020
   0.217  -0.033  -0.002  -0.002   0.029
   0.218   0.016   0.024   0.024   0.078
   0.220   0.050   0.050   0.064   0.126
   0.222   0.077   0.077   0.113   0.175
   0.224   0.103   0.103   0.161   0.223
   0.226   0.129   0.129   0.210   0.272
   0.227   0.155   0.155   0.258   0.320
   0.229   0.181   0.181   0.305   0.367
   0.231   0.206   0.206   0.353   0.415
   0.233   0.232   0.232   0.400   0.462
   0.235   0.257   0.257   0.446   0.508
   0.236   0.282   0.282   0.493   0.555
   0.238   0.306   0.306   0.538   0.600
   0.240   0.331   0.331   0.583   0.645
   0.242   0.355   0.355   0.628   0.690
   0.244   0.378   0.378   0.671   0.733
   0.245   0.402   0.402   0.714   0.776
   0.247   0.424   0.424   0.757   0.819
   0.249   0.447   0.447   0.798   0.860
   0.251   0.469   0.469   0.839   0.901
   0.253   0.490   0.490   0.879   0.941
   0.254   0.511   0.511   0.918   0.980
   0.256   0.532   0.532   0.956   1.018
   0.258   0.552   0.552   0.993   1.055
   0.260   0.571   0.571   1.029   1.091
   0.262   0.590   0.590   1.064   1.126
   0.263   0.609   0.609   1.098   1.160
   0.265   0.626   0.626   1.131   1.193
   0.267   0.643   0.643   1.163   1.225
   0.269   0.660   0.660   1.193   1.255
   0.270   0.676   0.676   1.222   1.284
   0.272   0.691   0.691   1.250   1.312
   0.274   0.705   0.705   1.277   1.339
   0.276   0.719   0.719   1.303   1.365
   0.278   0.732   0.732   1.327   1.389
   0.279   0.744   0.744   1.350   1.412
   0.281   0.756   0.756   1.371   1.433
   0.283   0.767   0.767   1.391   1.453
   0.285   0.777   0.777   1.410   1.472
   0.287   0.786   0.786   1.427   1.489
   0.288   0.795   0.795   1.443   1.505
   0.290   0.803   0.803   1.457   1.519
   0.292   0.809   0.809   1.470   1.532
   0.294   0.816   0.816   1.481   1.543
   0.296   0.821   0.821   1.491   1.553
   0.297   0.825   0.825   1.500   1.562
   0.299   0.829   0.829   1.507   1.569
   0.301   0.832   0.832   1.512   1.574
   0.303   0.834   0.834   1.516   1.578
   0.305   0.835   0.835   1.518   1.580
   0.306   0.836   0.836   1.519   1.581
 @# k   EF=0
   0.000   0.000
   0.306   0.000
