@# a f Etot
-.1	0.1095	1.1393860777391240
-.09	0.0659	1.1386972649030787
-.08	0.0252	1.1383980094043307
-.07	-0.0128	1.1384515374609991
-.06	-0.0485	1.1389133556453153
-.05	-0.0821	1.1396921056592482
-.04	-0.1138	1.1407690354622031
-.03	-0.1437	1.1421228253520732
-.0288	-0.1472	1.1423033848932618
-.02304	-0.1636	1.1432220191302342
-.01728	-0.1795	1.1442252198259006
-.01152	-0.1949	1.1453170771325794
-.00576	-0.2098	1.1464930255374572
0	-0.2242	1.1477487094767573
.00576	-0.2381	1.1490885509248834
.01152	-0.2516	1.1505055996594700
.01728	-0.2645	1.1520020042103722
.02304	-0.2770	1.1535722373375277
.0288	-0.2890	1.1552115276114840
.03	-0.2915	1.1555598578421140
.04	-0.3112	1.1585766724078101
.05	-0.3297	1.1617499487800740
