 @# k   band (eV)
   0.155  -5.874  -5.248  -1.343  -1.130  -1.130  -0.240  16.600  16.600  16.712
   0.158  -5.876  -5.293  -1.267  -1.061  -1.061  -0.221  16.476  16.476  16.627
   0.161  -5.879  -5.338  -1.186  -0.992  -0.992  -0.201  16.351  16.351  16.539
   0.163  -5.884  -5.381  -1.100  -0.922  -0.922  -0.182  16.226  16.226  16.446
   0.166  -5.890  -5.424  -1.008  -0.852  -0.852  -0.163  16.099  16.099  16.348
   0.168  -5.897  -5.466  -0.911  -0.781  -0.781  -0.143  15.972  15.972  16.246
   0.171  -5.905  -5.508  -0.809  -0.709  -0.709  -0.124  15.846  15.846  16.139
   0.174  -5.914  -5.548  -0.701  -0.638  -0.638  -0.106  15.720  15.720  16.027
   0.176  -5.924  -5.588  -0.589  -0.566  -0.566  -0.087  15.594  15.594  15.910
   0.179  -5.935  -5.627  -0.494  -0.494  -0.472  -0.069  15.470  15.470  15.788
   0.182  -5.947  -5.664  -0.422  -0.422  -0.350  -0.051  15.347  15.347  15.661
   0.184  -5.959  -5.701  -0.351  -0.351  -0.223  -0.033  15.225  15.225  15.530
   0.187  -5.971  -5.737  -0.279  -0.279  -0.093  -0.016  15.105  15.105  15.394
   0.189  -5.984  -5.772  -0.209  -0.209   0.001   0.042  14.987  14.987  15.253
   0.192  -5.998  -5.805  -0.139  -0.139   0.018   0.180  14.871  14.871  15.108
   0.195  -6.011  -5.838  -0.069  -0.069   0.034   0.322  14.758  14.758  14.959
   0.197  -6.025  -5.870  -0.001  -0.001   0.050   0.467  14.648  14.648  14.806
   0.200  -6.039  -5.900   0.066   0.066   0.066   0.614  14.540  14.540  14.650
   0.203  -6.053  -5.930   0.081   0.132   0.132   0.764  14.435  14.435  14.491
   0.205  -6.067  -5.958   0.095   0.197   0.197   0.915  14.330  14.334  14.334
   0.208  -6.081  -5.985   0.109   0.260   0.260   1.068  14.167  14.236  14.236
   0.211  -6.095  -6.011   0.123   0.321   0.321   1.221  14.003  14.142  14.142
   0.213  -6.109  -6.036   0.136   0.381   0.381   1.374  13.838  14.051  14.051
   0.216  -6.122  -6.060   0.148   0.438   0.438   1.526  13.674  13.964  13.964
   0.218  -6.135  -6.082   0.160   0.494   0.494   1.678  13.511  13.881  13.881
   0.221  -6.148  -6.104   0.171   0.547   0.547   1.827  13.349  13.802  13.802
   0.224  -6.160  -6.124   0.182   0.597   0.597   1.974  13.191  13.728  13.728
   0.226  -6.172  -6.142   0.192   0.646   0.646   2.117  13.035  13.657  13.657
   0.229  -6.183  -6.160   0.201   0.691   0.691   2.256  12.885  13.591  13.591
   0.232  -6.194  -6.176   0.210   0.734   0.734   2.390  12.739  13.530  13.530
   0.234  -6.204  -6.191   0.218   0.773   0.773   2.518  12.601  13.473  13.473
   0.237  -6.214  -6.205   0.226   0.810   0.810   2.639  12.469  13.421  13.421
   0.239  -6.222  -6.217   0.232   0.843   0.843   2.753  12.346  13.373  13.373
   0.242  -6.230  -6.228   0.238   0.873   0.873   2.858  12.233  13.331  13.331
   0.245  -6.238  -6.237   0.244   0.900   0.900   2.953  12.130  13.293  13.293
   0.247  -6.247  -6.243   0.248   0.924   0.924   3.037  12.038  13.260  13.260
   0.250  -6.254  -6.249   0.252   0.944   0.944   3.110  11.959  13.232  13.232
   0.253  -6.260  -6.253   0.256   0.960   0.960   3.172  11.893  13.210  13.210
   0.255  -6.265  -6.257   0.258   0.973   0.973   3.220  11.840  13.192  13.192
   0.258  -6.268  -6.259   0.260   0.982   0.982   3.255  11.803  13.179  13.179
   0.261  -6.270  -6.261   0.261   0.987   0.987   3.276  11.780  13.171  13.171
   0.263  -6.270  -6.261   0.262   0.989   0.989   3.283  11.772  13.169  13.169
   0.264  -6.270  -6.261   0.261   0.987   0.989   3.285  11.772  13.168  13.169
   0.266  -6.269  -6.260   0.261   0.981   0.989   3.292  11.772  13.167  13.168
   0.267  -6.268  -6.259   0.259   0.971   0.989   3.302  11.771  13.165  13.166
   0.268  -6.266  -6.258   0.258   0.957   0.989   3.317  11.771  13.163  13.164
   0.270  -6.264  -6.256   0.256   0.940   0.989   3.335  11.770  13.159  13.161
   0.271  -6.261  -6.254   0.253   0.919   0.989   3.358  11.769  13.155  13.158
   0.272  -6.257  -6.251   0.250   0.894   0.989   3.384  11.768  13.150  13.154
   0.274  -6.253  -6.248   0.247   0.867   0.988   3.413  11.767  13.144  13.150
   0.275  -6.249  -6.244   0.243   0.836   0.988   3.445  11.766  13.138  13.145
   0.276  -6.244  -6.240   0.239   0.803   0.988   3.480  11.765  13.131  13.139
   0.278  -6.238  -6.236   0.234   0.767   0.987   3.518  11.763  13.123  13.133
   0.279  -6.232  -6.231   0.228   0.729   0.987   3.559  11.761  13.114  13.127
   0.280  -6.226  -6.225   0.223   0.689   0.987   3.601  11.759  13.104  13.119
   0.282  -6.220  -6.218   0.217   0.647   0.986   3.646  11.757  13.094  13.112
   0.283  -6.214  -6.210   0.210   0.604   0.986   3.693  11.755  13.083  13.103
   0.284  -6.208  -6.202   0.203   0.559   0.985   3.742  11.753  13.071  13.095
   0.286  -6.201  -6.193   0.195   0.512   0.985   3.792  11.751  13.058  13.085
   0.287  -6.194  -6.184   0.187   0.464   0.984   3.843  11.748  13.044  13.076
   0.288  -6.186  -6.174   0.179   0.416   0.984   3.896  11.746  13.030  13.065
   0.289  -6.178  -6.164   0.170   0.366   0.983   3.950  11.743  13.015  13.055
   0.291  -6.170  -6.153   0.161   0.315   0.983   4.006  11.740  12.999  13.044
   0.292  -6.161  -6.141   0.151   0.263   0.982   4.062  11.738  12.982  13.032
   0.293  -6.152  -6.129   0.141   0.211   0.982   4.120  11.735  12.964  13.020
   0.295  -6.142  -6.117   0.131   0.158   0.981   4.178  11.732  12.946  13.008
   0.296  -6.132  -6.104   0.104   0.120   0.980   4.237  11.729  12.926  12.995
   0.297  -6.122  -6.091   0.050   0.109   0.979   4.296  11.725  12.906  12.982
   0.299  -6.111  -6.077  -0.005   0.097   0.979   4.357  11.722  12.885  12.968
   0.300  -6.100  -6.062  -0.059   0.085   0.978   4.418  11.719  12.863  12.954
   0.301  -6.088  -6.047  -0.115   0.073   0.977   4.480  11.716  12.840  12.940
   0.303  -6.076  -6.032  -0.170   0.060   0.976   4.542  11.712  12.817  12.925
   0.304  -6.064  -6.016  -0.226   0.047   0.976   4.605  11.709  12.792  12.910
   0.305  -6.052  -5.999  -0.282   0.033   0.975   4.668  11.705  12.767  12.895
   0.307  -6.039  -5.982  -0.339   0.019   0.974   4.731  11.702  12.741  12.880
   0.308  -6.025  -5.965  -0.395   0.005   0.973   4.795  11.698  12.714  12.864
   0.309  -6.012  -5.947  -0.452  -0.010   0.972   4.860  11.695  12.686  12.848
   0.311  -5.998  -5.928  -0.508  -0.025   0.971   4.924  11.691  12.657  12.832
   0.312  -5.984  -5.909  -0.565  -0.040   0.971   4.989  11.688  12.628  12.816
   0.313  -5.969  -5.890  -0.622  -0.056   0.970   5.055  11.684  12.597  12.799
   0.314  -5.954  -5.870  -0.679  -0.071   0.969   5.120  11.681  12.566  12.782
   0.316  -5.939  -5.849  -0.736  -0.088   0.968   5.186  11.677  12.534  12.765
   0.317  -5.923  -5.828  -0.793  -0.104   0.967   5.252  11.674  12.501  12.748
   0.318  -5.908  -5.807  -0.849  -0.121   0.966   5.318  11.670  12.467  12.731
   0.320  -5.892  -5.785  -0.906  -0.138   0.965   5.385  11.667  12.432  12.714
   0.321  -5.875  -5.763  -0.963  -0.155   0.964   5.452  11.664  12.396  12.696
   0.322  -5.859  -5.740  -1.020  -0.173   0.963   5.519  11.660  12.360  12.679
   0.324  -5.842  -5.717  -1.076  -0.191   0.962   5.586  11.657  12.322  12.661
   0.325  -5.825  -5.693  -1.133  -0.209   0.961   5.653  11.654  12.284  12.644
   0.326  -5.808  -5.669  -1.190  -0.227   0.960   5.721  11.651  12.245  12.626
   0.328  -5.790  -5.644  -1.246  -0.245   0.959   5.788  11.648  12.205  12.608
   0.329  -5.772  -5.619  -1.302  -0.264   0.958   5.856  11.645  12.164  12.591
   0.330  -5.755  -5.593  -1.358  -0.283   0.957   5.924  11.643  12.123  12.573
   0.332  -5.737  -5.567  -1.414  -0.301   0.956   5.992  11.640  12.080  12.555
   0.333  -5.719  -5.541  -1.470  -0.320   0.955   6.060  11.637  12.037  12.537
   0.334  -5.700  -5.514  -1.526  -0.340   0.954   6.128  11.635  11.993  12.520
   0.336  -5.682  -5.487  -1.581  -0.359   0.953   6.196  11.633  11.948  12.502
   0.337  -5.663  -5.459  -1.637  -0.378   0.952   6.265  11.631  11.902  12.485
   0.338  -5.645  -5.431  -1.692  -0.398   0.951   6.333  11.629  11.856  12.467
   0.339  -5.626  -5.402  -1.747  -0.417   0.950   6.402  11.627  11.809  12.450
   0.341  -5.607  -5.373  -1.802  -0.436   0.949   6.471  11.625  11.761  12.432
   0.342  -5.589  -5.343  -1.857  -0.456   0.949   6.540  11.623  11.712  12.415
   0.343  -5.570  -5.313  -1.911  -0.475   0.948   6.608  11.622  11.662  12.398
   0.345  -5.551  -5.283  -1.965  -0.495   0.947   6.677  11.612  11.620  12.381
   0.346  -5.533  -5.252  -2.019  -0.514   0.946   6.746  11.561  11.619  12.365
   0.347  -5.514  -5.221  -2.073  -0.533   0.945   6.815  11.509  11.618  12.348
   0.349  -5.495  -5.190  -2.127  -0.553   0.944   6.884  11.457  11.617  12.332
   0.350  -5.477  -5.158  -2.180  -0.572   0.943   6.954  11.404  11.617  12.315
   0.351  -5.459  -5.125  -2.234  -0.591   0.942   7.023  11.350  11.616  12.299
   0.353  -5.441  -5.092  -2.287  -0.609   0.941   7.092  11.296  11.616  12.283
   0.354  -5.423  -5.059  -2.340  -0.628   0.941   7.161  11.241  11.616  12.268
   0.355  -5.405  -5.026  -2.392  -0.646   0.940   7.231  11.185  11.616  12.252
   0.357  -5.387  -4.992  -2.444  -0.664   0.939   7.300  11.129  11.616  12.237
   0.358  -5.370  -4.957  -2.497  -0.682   0.938   7.369  11.072  11.616  12.222
   0.359  -5.353  -4.923  -2.548  -0.700   0.938   7.439  11.015  11.617  12.208
   0.361  -5.336  -4.887  -2.600  -0.717   0.937   7.508  10.957  11.617  12.193
   0.362  -5.320  -4.852  -2.651  -0.734   0.936   7.578  10.898  11.618  12.179
   0.363  -5.304  -4.816  -2.703  -0.750   0.935   7.647  10.839  11.619  12.165
   0.364  -5.288  -4.780  -2.753  -0.766   0.935   7.717  10.780  11.620  12.152
   0.366  -5.273  -4.743  -2.804  -0.782   0.934   7.786  10.720  11.621  12.139
   0.367  -5.258  -4.706  -2.854  -0.797   0.934   7.855  10.659  11.622  12.126
   0.368  -5.244  -4.669  -2.904  -0.812   0.933   7.925  10.598  11.624  12.114
   0.370  -5.230  -4.631  -2.954  -0.826   0.932   7.994  10.536  11.625  12.102
   0.371  -5.217  -4.593  -3.004  -0.839   0.932   8.064  10.475  11.627  12.090
   0.372  -5.204  -4.554  -3.053  -0.853   0.931   8.133  10.412  11.629  12.079
   0.374  -5.192  -4.516  -3.102  -0.865   0.931   8.202  10.349  11.631  12.068
   0.375  -5.180  -4.476  -3.151  -0.877   0.930   8.271  10.286  11.633  12.058
   0.376  -5.169  -4.437  -3.200  -0.888   0.930   8.341  10.223  11.634  12.048
   0.378  -5.159  -4.397  -3.248  -0.899   0.930   8.410  10.159  11.636  12.038
   0.379  -5.149  -4.357  -3.296  -0.909   0.929   8.479  10.094  11.638  12.030
   0.380  -5.140  -4.316  -3.343  -0.918   0.929   8.548  10.030  11.640  12.021
   0.382  -5.132  -4.275  -3.391  -0.926   0.928   8.617   9.965  11.642  12.014
   0.383  -5.124  -4.234  -3.438  -0.934   0.928   8.686   9.899  11.644  12.007
   0.384  -5.117  -4.193  -3.485  -0.941   0.928   8.755   9.834  11.646  12.000
   0.386  -5.111  -4.151  -3.531  -0.947   0.928   8.823   9.768  11.647  11.994
