@#  mag(muB)  Etot(eV)
0 0.43589586620156373
0.2 0.43158945493825190
0.4 0.41418715752835722
0.6 0.38550214565360141
0.8 0.34448978517775009
1.0 0.28886277159046359
1.2 0.21859476501719305
1.4 0.14904173485246708
1.6 7.7580161193698455E-002
1.8 -1.3915526139696686E-003
2.0 -6.9915311645772957E-002
2.2 -0.12293393281283937
2.3 -0.14465478527648790
2.35 -0.15566678977332654
2.4 -0.15862597893364583
2.45 -0.15901884911766964
2.5 -0.15853746746735314
2.6 -0.14150512827144385
2.8 -5.9746798954626527E-002
3.0 6.1062014890424191E-002
