@#  theta   Etot  a=2.8
0 0.74793583151035825
5 0.74698384624289005
10 0.74614149781823891
20 0.75214898423135390
30 0.76594425773257979
40 0.79123839892133474
50 0.82683066699580743
60 0.86856443617833701
70 0.90799898216807196
80 0.93953367743251492
90 0.95385760920620777
@#  theta   Etot  a=2.9
0 -0.14072436591467163
5 -0.14064816378238040
10 -0.14193976427771360
20 -0.14223339652690928
30 -0.13485902408785375
40 -0.12447933215278831
50 -0.10825585306180809
60 -9.1205061246430366E-002
70 -7.0178740498033410E-002
80 -5.3513948828891780E-002
90 -4.7952851667745718E-002
@#  theta   Etot  a=3.0
0 6.2080860729235597E-002
5 6.0752929633209614E-002
10 5.9579599234844044E-002
20 5.5128818441398733E-002
30 5.2420741724083550E-002
40 5.1749501802017386E-002
50 5.2485235146680374E-002
60 5.5351818991855754E-002
70 5.9381928786871652E-002
80 6.4156572428459777E-002
90 6.2618028911150564E-002
@#  theta   Etot  a=3.1
0 0.83773488874537394
5 0.83518648557400765
10 0.83197430289724905
20 0.82163280876118450
30 0.81035471934630277
40 0.79846200457750061
50 0.79069077039269808
60 0.78611778388695674
70 0.78251476821980237
80 0.77705805889982216
90 0.77297623597371268
