 @# k   band (eV)
   0.071  -4.086  -2.900  -2.879  -2.351  -2.157  -2.148  -1.616  -0.194   0.088   0.108   0.564   0.573   4.198   4.199   4.895   4.897  15.342  15.971
   0.073  -4.029  -2.892  -2.871  -2.285  -2.195  -2.186  -1.578  -0.165   0.097   0.117   0.523   0.531   4.293   4.294   4.995   4.997  15.210  15.833
   0.076  -3.972  -2.884  -2.864  -2.252  -2.231  -2.192  -1.539  -0.135   0.106   0.126   0.481   0.490   4.391   4.392   5.096   5.098  15.080  15.698
   0.078  -3.913  -2.877  -2.856  -2.284  -2.271  -2.129  -1.499  -0.105   0.115   0.136   0.441   0.449   4.490   4.491   5.199   5.201  14.953  15.565
   0.080  -3.853  -2.869  -2.848  -2.323  -2.311  -2.056  -1.457  -0.074   0.125   0.145   0.400   0.409   4.591   4.592   5.303   5.305  14.827  15.434
   0.082  -3.793  -2.861  -2.840  -2.363  -2.352  -1.980  -1.413  -0.043   0.134   0.154   0.361   0.370   4.695   4.696   5.408   5.410  14.703  15.306
   0.084  -3.732  -2.853  -2.832  -2.404  -2.393  -1.902  -1.368  -0.011   0.143   0.163   0.321   0.331   4.799   4.800   5.515   5.517  14.582  15.179
   0.087  -3.670  -2.845  -2.824  -2.444  -2.433  -1.822  -1.322   0.020   0.152   0.172   0.284   0.294   4.906   4.907   5.623   5.625  14.462  15.055
   0.089  -3.608  -2.836  -2.816  -2.485  -2.474  -1.740  -1.274   0.051   0.159   0.178   0.248   0.260   5.014   5.015   5.732   5.735  14.344  14.932
   0.091  -3.545  -2.828  -2.808  -2.525  -2.514  -1.656  -1.224   0.079   0.161   0.179   0.219   0.233   5.124   5.125   5.843   5.845  14.228  14.812
   0.093  -3.482  -2.820  -2.799  -2.565  -2.555  -1.571  -1.173   0.098   0.148   0.174   0.207   0.224   5.236   5.237   5.955   5.957  14.113  14.693
   0.096  -3.419  -2.812  -2.792  -2.605  -2.594  -1.485  -1.119   0.093   0.117   0.183   0.209   0.227   5.349   5.350   6.068   6.070  14.000  14.576
   0.098  -3.356  -2.805  -2.784  -2.644  -2.633  -1.397  -1.065   0.067   0.082   0.207   0.218   0.235   5.464   5.465   6.182   6.184  13.888  14.460
   0.100  -3.292  -2.798  -2.778  -2.682  -2.670  -1.307  -1.008   0.034   0.047   0.223   0.240   0.247   5.579   5.580   6.298   6.300  13.777  14.345
