 @# k   band (eV)
   0.086  -7.807  -7.807  -3.332  -3.332  -2.882  -2.882  -2.725  -2.725  -2.406  -2.406  -2.048  -2.048  20.268  20.268  20.269  20.269  20.269  20.269
   0.089  -7.740  -7.740  -3.350  -3.350  -2.868  -2.868  -2.709  -2.709  -2.416  -2.416  -2.041  -2.041  20.066  20.066  20.066  20.066  20.111  20.111
   0.091  -7.672  -7.672  -3.368  -3.368  -2.853  -2.853  -2.692  -2.692  -2.426  -2.426  -2.035  -2.035  19.863  19.863  19.863  19.863  19.951  19.951
   0.094  -7.602  -7.602  -3.387  -3.387  -2.839  -2.839  -2.675  -2.675  -2.434  -2.434  -2.028  -2.028  19.659  19.659  19.659  19.659  19.790  19.790
   0.097  -7.530  -7.530  -3.406  -3.406  -2.823  -2.823  -2.656  -2.656  -2.442  -2.442  -2.021  -2.021  19.456  19.456  19.456  19.456  19.625  19.625
   0.100  -7.457  -7.457  -3.426  -3.426  -2.808  -2.808  -2.637  -2.637  -2.449  -2.449  -2.014  -2.014  19.253  19.253  19.253  19.253  19.458  19.458
   0.102  -7.382  -7.382  -3.446  -3.446  -2.793  -2.793  -2.617  -2.617  -2.455  -2.455  -2.006  -2.006  19.052  19.052  19.052  19.052  19.289  19.289
   0.105  -7.307  -7.307  -3.466  -3.466  -2.778  -2.778  -2.597  -2.597  -2.459  -2.459  -1.999  -1.999  18.852  18.852  18.852  18.852  19.117  19.117
   0.108  -7.229  -7.229  -3.487  -3.487  -2.764  -2.764  -2.576  -2.576  -2.461  -2.461  -1.992  -1.992  18.654  18.654  18.654  18.654  18.942  18.942
   0.111  -7.151  -7.151  -3.508  -3.508  -2.750  -2.750  -2.554  -2.554  -2.462  -2.462  -1.984  -1.984  18.458  18.458  18.458  18.458  18.765  18.765
   0.114  -7.073  -7.073  -3.529  -3.529  -2.736  -2.736  -2.532  -2.532  -2.461  -2.461  -1.976  -1.976  18.265  18.265  18.265  18.265  18.585  18.585
